model,variable,category,mean,std,variance,ci95,min,max,n
SB,I,OPV,9743.914000481482,7842.745223250189,61508652.636813655,2958.300563008377,0.0,21359.166021,27
SB,I,PCV,1171019.1002222223,438926.82576659805,192656758377.54153,165564.153727117,893569.985,3356828.8580000005,27
SB,I,Penta,28521.761062851874,10005.380588547245,100107640.721678,3774.0513284130398,10228.419779999998,47917.84752799999,27
SB,I,Rotavirus,8416.700671037028,2275.38118027129,5177359.515532768,858.2787321332431,3532.79,13516.234999999997,27
SB,I,TT,288.5499120740756,586.3549321101405,343812.1064098874,221.17435622437682,0.0,2304.78,27
SB,I,Td,3451.2687485555707,3855.739852308943,14866729.808683388,1454.3934618817475,0.0,14502.158166000032,27
SB,S,TOTAL,3305703.095620531,567237.8705120297,321758801743.0222,213963.35899331802,2155335.1959299995,4254765.776269998,27
SB,S,Diphtheria,904404.7147265638,405188.46343994414,164177690904.82297,152837.97004719396,78510.12592999969,1699040.5159299993,27
SB,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,27
SB,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,27
SB,S,Hib,0.0,0.0,0.0,0.0,0.0,0.0,27
SB,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,27
SB,S,Pertussis,3770.6681481481464,12017.875343282054,144429327.76666674,4533.16872882709,0.0,47320.28999999996,27
SB,S,Polio,70130.9229088865,154267.3216541566,23798406530.347015,58189.969393670726,0.0,699803.3744099992,27
SB,S,Rotavirus,1136872.0022981474,158320.16609742114,25065274993.11502,59718.711136135,837685.7199999996,1474410.4899999993,27
SB,S,Tetanus,1190524.7875387846,423904.7913141926,179695272099.12918,159897.8096456672,214405.1059299998,2057481.6459299983,27
MP,I,TOTAL,1176278.1272129356,88238.1773034793,7785975933.84025,31575.626226273907,1011286.365187,1356917.8324259992,30
MP,I,DT,33852.451051066666,24230.456314522828,587115013.2099991,8670.75743471033,13400.637835000001,132708.8085799999,30
MP,I,DTwP,8064.998559866667,6513.555321394562,42426402.924867414,2330.845837002601,691.7436259999813,28958.152877999964,30
MP,I,DTwP-Hib,7143.719459333334,3202.4052475224935,10255399.369359603,1145.9660003294432,4379.209198,17820.148968,30
MP,I,HPV,66906.01430476895,18082.35813413647,326971675.6911713,6470.688756062999,24686.145999999986,105533.85000000002,30
MP,I,HepB,0.0,0.0,0.0,0.0,0.0,0.0,30
MP,I,Hexa,0.0,0.0,0.0,0.0,0.0,0.0,30
MP,I,IPV,16470.582786033323,423.8919120932245,179684.35313804998,151.68777263567122,14187.854978999942,16549.297537999995,30
MP,I,OPV,16189.067803400025,4122.886916220716,16998196.52394396,1475.3561351572384,10101.866021,29849.287579999997,30
MP,I,PCV,990655.7386,76462.20986040906,5846469536.737235,27361.65039633012,813703.582,1146498.602,30
MP,I,Penta,19340.86805153333,5953.068931924437,35439029.70824395,2130.2783583934906,15487.094175999995,37425.688527999984,30
MP,I,Rotavirus,11820.510499999997,2377.4874034289837,5652446.3534634905,850.7729409477271,10074.789999999999,17144.333999999933,30
MP,I,TT,422.44806666666403,744.8621183128214,554819.5752974636,266.54548582826254,50.25699999999724,2304.78,30
MP,I,Td,5411.728030266668,7877.103200104572,62048754.825097695,2818.785178855691,648.199759,42982.80294899999,30
MP,S,TOTAL,3491381.92983933,598138.1086688375,357769197041.934,214040.97328598044,2099752.02627,4521757.57627,30
MP,S,Diphtheria,927154.4455966669,434969.0636835256,189198086361.72293,155651.68042429382,63811.66592999987,1737711.4959300002,30
MP,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
MP,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
MP,S,Hib,0.0,0.0,0.0,0.0,0.0,0.0,30
MP,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
MP,S,Pertussis,0.0,0.0,0.0,0.0,0.0,0.0,30
MP,S,Polio,153215.0100186624,209107.532636299,43725960205.24085,74828.16954517714,0.0,977050.3744099981,30
MP,S,Rotavirus,1178186.5183333335,152327.84773766474,23203773196.38917,54509.820250192424,932062.3199999997,1577310.49,30
MP,S,Tetanus,1232825.955890667,412041.47436494124,169778176596.83453,147447.14795641176,255246.00592999998,2133476.3259300003,30
